Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,18.71,1.39,6.92,18.85,100.00,0
50,20.24,1.53,7.65,19.53,100.00,0
75,22.04,1.89,9.40,21.86,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,19.73,10.55,7.65,18.83,100.00,0
0.02,21.54,1.56,6.72,22.50,100.00,0
0.04,21.16,1.50,6.19,21.78,100.00,0
0.06,23.45,1.44,9.32,20.79,100.00,0
0.09,16.60,2.57,7.03,18.99,100.00,0
0.10,23.08,1.55,11.18,18.67,100.00,0
0.13,18.95,1.65,7.12,23.22,100.00,0
0.14,20.11,1.65,6.70,20.29,100.00,0
0.16,24.26,1.32,12.48,18.84,100.00,0
0.19,14.31,2.50,7.76,19.31,100.00,0
0.20,18.54,1.52,6.78,18.64,100.00,0
0.22,22.20,1.59,7.55,21.30,100.00,0
0.24,18.74,1.50,7.76,18.64,100.00,0
0.26,28.12,1.62,17.33,18.87,100.00,0
0.29,21.56,2.08,7.19,31.45,100.00,0
0.31,21.26,1.42,6.30,21.86,100.00,0
0.33,18.26,1.46,6.34,18.53,100.00,0
0.35,19.45,1.24,6.90,18.79,100.00,0
0.37,22.19,2.07,9.99,18.97,100.00,0
0.39,20.19,2.08,6.68,23.80,100.00,0
0.41,19.96,1.78,7.31,19.16,100.00,0
0.43,18.50,1.46,7.23,18.54,100.00,0
0.45,22.32,1.54,10.17,19.53,100.00,0
0.47,22.30,1.72,8.31,23.46,100.00,0
0.50,21.09,1.92,7.01,22.51,100.00,0
0.52,18.46,1.46,6.52,18.96,100.00,0
0.54,19.13,1.27,6.89,18.81,100.00,0
0.56,20.82,1.40,8.98,18.89,100.00,0
0.58,26.24,1.41,12.15,22.68,100.00,0
0.60,19.33,2.29,6.73,24.64,100.00,0
0.62,19.11,1.74,7.99,18.62,100.00,0
0.64,18.33,1.57,6.86,18.89,100.00,0
0.66,22.32,1.43,7.65,21.62,100.00,0
0.68,21.32,1.75,7.68,20.74,100.00,0
0.70,17.49,2.42,6.98,18.91,100.00,0
0.72,19.69,1.30,7.31,18.85,100.00,0
0.74,22.36,1.36,8.33,21.81,100.00,0
0.76,20.33,1.63,7.28,21.51,100.00,0
0.78,24.08,2.01,10.89,19.81,100.00,0
0.81,17.70,2.76,8.72,20.68,100.00,0
0.82,17.51,1.59,6.80,18.84,100.00,0
0.84,21.33,1.31,7.17,21.11,100.00,0
0.86,19.03,1.44,6.80,19.03,100.00,0
0.88,26.56,1.59,14.78,18.72,100.00,0
0.91,11.05,1.95,6.78,19.09,100.00,0
0.92,18.85,1.53,6.78,18.64,100.00,0
0.94,19.36,1.48,7.32,18.71,100.00,0
0.96,19.41,1.25,7.52,18.94,100.00,0
0.98,27.56,1.34,15.71,19.00,100.00,0
1.01,15.71,5.62,12.67,23.83,100.00,0
1.02,19.85,1.57,6.66,21.29,100.00,0
1.04,18.76,1.30,6.74,19.25,100.00,0
1.06,19.91,1.22,7.70,18.55,100.00,0
1.08,22.01,1.30,10.57,19.02,100.00,0
1.10,20.99,2.77,9.40,22.61,100.00,0
1.12,22.01,3.00,7.66,23.48,100.00,0
1.14,18.66,1.72,7.59,19.27,100.00,0
1.16,18.60,1.59,6.73,18.93,100.00,0
1.18,25.56,1.40,10.50,21.41,100.00,0
1.21,19.44,2.47,10.76,19.71,100.00,0
1.23,22.63,3.69,9.04,23.74,100.00,0
1.25,17.50,1.84,8.82,18.48,100.00,0
1.27,22.06,1.49,7.86,22.21,100.00,0
1.29,23.90,1.39,9.62,21.90,100.00,0
1.31,19.01,5.82,18.49,19.10,100.00,0
1.33,21.48,4.32,7.36,24.15,100.00,0
1.35,21.54,2.19,7.08,21.85,100.00,0
1.37,19.64,1.31,6.46,20.34,100.00,0
1.39,22.32,1.41,9.74,18.79,100.00,0
1.42,22.02,4.89,22.23,19.13,100.00,0
1.44,24.89,6.85,10.16,27.40,100.00,0
1.46,20.70,1.34,8.45,22.09,100.00,0
1.48,18.27,1.51,7.37,19.65,100.00,0
1.50,26.18,1.43,14.23,18.83,100.00,0
1.53,12.96,5.34,12.19,19.23,100.00,0
1.54,22.04,1.40,6.78,23.35,100.00,0
1.56,20.63,1.42,6.49,21.11,100.00,0
1.58,19.19,1.38,7.08,18.83,100.00,0
1.60,25.24,1.32,12.89,18.52,100.00,0
1.63,18.02,7.50,18.53,19.26,100.00,0
1.65,22.25,3.03,8.16,25.95,100.00,0
1.67,17.35,1.41,7.42,18.60,100.00,0
1.69,18.52,1.45,7.47,18.70,100.00,0
1.71,20.13,1.47,8.32,18.62,100.00,0
1.73,21.48,2.13,8.40,21.91,100.00,0
1.75,18.43,2.42,6.81,19.69,100.00,0
1.77,20.44,1.49,7.98,19.13,100.00,0
1.79,24.21,1.45,11.55,19.80,100.00,0
1.81,28.05,1.69,13.20,26.45,100.00,0
1.84,15.38,7.52,13.70,21.54,100.00,0
1.85,20.79,1.98,6.73,21.96,100.00,0
1.87,21.10,1.35,9.10,18.83,100.00,0
1.90,21.31,1.29,6.70,23.29,100.00,0
1.92,23.13,1.34,10.29,19.83,100.00,0
1.94,17.44,4.56,14.66,18.87,100.00,0
1.96,22.51,4.56,8.05,23.05,100.00,0
1.98,23.28,1.22,8.73,22.74,100.00,0
2.00,21.38,1.46,7.12,22.80,100.00,0
2.02,32.71,1.53,18.49,21.48,100.00,0
2.06,10.83,2.00,9.72,19.72,100.00,0
2.07,22.46,1.82,9.36,22.77,100.00,0
2.09,21.87,1.72,7.50,23.41,100.00,0
2.11,23.52,1.49,9.35,22.27,100.00,0
2.14,26.49,1.54,15.93,19.88,100.00,0
2.16,10.92,2.23,7.89,19.12,100.00,0
2.17,19.62,1.48,7.71,19.26,100.00,0
2.19,22.22,1.47,8.36,21.80,100.00,0
2.21,17.43,1.60,6.98,18.59,100.00,0
2.23,32.98,1.45,20.77,19.07,100.00,0
2.27,14.95,1.93,7.58,28.77,100.00,0
2.28,19.05,1.42,7.50,18.93,100.00,0
2.30,19.28,1.28,7.10,18.95,100.00,0
2.32,18.39,1.50,7.34,18.79,100.00,0
2.34,29.46,1.22,17.24,18.89,100.00,0
2.37,19.52,1.94,7.77,29.33,100.00,0
2.39,18.39,1.44,7.35,18.85,100.00,0
2.40,17.68,1.32,6.43,18.60,100.00,0
2.42,18.90,1.28,6.49,18.69,100.00,0
2.44,27.15,1.56,12.29,21.20,100.00,0
2.47,17.73,1.57,8.80,20.89,100.00,0
2.49,17.17,1.58,7.18,19.29,100.00,0
2.50,20.99,1.66,9.46,18.83,100.00,0
2.52,21.16,1.33,7.09,23.06,100.00,0
2.54,25.40,1.32,10.07,21.92,100.00,0
2.57,20.01,2.67,6.75,24.12,100.00,0
2.59,18.60,1.36,6.46,18.67,100.00,0
2.61,19.63,1.32,7.54,18.62,100.00,0
2.63,21.10,1.37,6.54,21.76,100.00,0
2.65,25.43,1.30,11.02,20.00,100.00,0
2.68,14.69,1.91,7.52,19.03,100.00,0
2.69,18.94,1.33,7.86,18.95,100.00,0
2.71,21.15,1.39,6.71,21.93,100.00,0
2.73,21.95,1.22,7.22,21.37,100.00,0
2.75,23.79,1.28,12.11,18.66,100.00,0
2.78,17.39,1.80,10.53,19.35,100.00,0
2.79,22.71,1.62,8.17,25.17,100.00,0
2.82,20.47,1.42,6.31,22.18,100.00,0
2.84,18.71,1.27,6.56,18.65,100.00,0
2.85,23.26,1.25,10.87,18.76,100.00,0
2.88,15.28,1.89,7.23,19.04,100.00,0
2.89,20.76,1.24,6.75,21.35,100.00,0
2.91,19.21,1.24,7.06,18.99,100.00,0
2.93,19.15,1.43,7.58,18.57,100.00,0
2.95,28.38,1.37,16.75,18.80,100.00,0
2.98,19.40,1.57,8.42,27.31,100.00,0
3.00,20.24,1.48,6.55,22.30,100.00,0
3.02,18.53,1.37,6.32,19.05,100.00,0
3.04,19.31,1.25,6.63,19.00,100.00,0
3.06,25.88,1.26,13.40,18.58,100.00,0
3.08,20.74,1.76,7.14,27.60,100.00,0
3.11,19.94,1.39,8.07,18.80,100.00,0
3.13,20.19,1.50,7.84,20.30,100.00,0
3.15,20.32,2.76,10.20,19.40,100.00,0
3.17,22.20,1.89,9.78,21.89,100.00,0
3.19,18.82,2.21,7.32,20.96,100.00,0
3.21,17.94,1.33,6.30,18.51,100.00,0
3.22,19.98,1.28,7.46,18.88,100.00,0
3.24,22.08,1.56,7.81,21.43,100.00,0
3.27,26.42,1.53,13.03,21.04,100.00,0
3.29,14.62,2.04,9.07,19.35,100.00,0
3.31,19.37,1.71,9.41,18.73,100.00,0
3.33,21.04,1.50,7.85,22.38,100.00,0
3.35,22.82,1.34,9.18,21.66,100.00,0
3.37,26.45,1.55,16.48,18.94,100.00,0
3.40,11.14,2.17,8.19,19.17,100.00,0
3.41,22.02,1.62,7.80,22.60,100.00,0
3.43,22.78,1.54,8.70,21.86,100.00,0
3.45,19.74,1.43,7.73,20.38,100.00,0
3.47,27.47,1.42,14.80,19.89,100.00,0
3.50,21.87,2.05,8.06,29.29,100.00,0
3.52,21.63,2.04,6.71,22.57,100.00,0
3.54,21.09,1.36,6.55,21.33,100.00,0
3.57,21.90,1.41,9.89,18.72,100.00,0
3.59,16.92,2.66,11.13,18.89,100.00,0
3.60,21.60,4.72,7.36,22.27,100.00,0
3.63,20.86,1.48,6.98,21.35,100.00,0
3.65,19.55,2.16,7.73,18.72,100.00,0
3.67,17.53,1.56,6.95,18.60,100.00,0
3.68,24.60,2.13,13.07,18.91,100.00,0
3.71,20.35,2.53,7.14,25.39,100.00,0
3.73,22.01,1.54,8.20,21.06,100.00,0
3.75,17.24,1.35,7.04,18.52,100.00,0
3.77,20.39,1.34,8.24,18.65,100.00,0
3.79,26.07,1.90,10.20,24.27,100.00,0
3.81,19.97,2.27,6.56,23.71,100.00,0
3.83,19.00,1.46,6.88,18.95,100.00,0
3.85,19.07,1.47,6.94,18.53,100.00,0
3.87,23.64,1.50,8.64,21.75,100.00,0
3.90,19.10,1.77,6.87,21.37,100.00,0
3.91,18.91,1.83,6.90,18.87,100.00,0
3.93,18.94,1.48,7.24,18.63,100.00,0
3.95,19.55,1.33,7.75,18.68,100.00,0
3.97,21.98,1.52,7.44,22.12,100.00,0
3.99,20.99,1.82,8.30,20.63,100.00,0
4.02,17.91,2.03,7.09,19.15,100.00,0
4.03,19.17,1.51,6.75,18.95,100.00,0
4.05,18.66,1.35,6.77,18.85,100.00,0
4.07,20.92,1.31,6.64,21.06,100.00,0
4.09,28.02,1.52,14.78,19.01,100.00,0
4.12,12.88,2.46,8.77,19.03,100.00,0
4.13,20.06,1.63,7.14,22.20,100.00,0
4.15,21.42,1.60,7.27,21.46,100.00,0
4.17,18.31,1.78,7.00,18.56,100.00,0
4.19,26.97,1.34,15.37,18.61,100.00,0
4.22,11.03,1.78,7.51,19.11,100.00,0
4.23,20.97,1.45,8.28,19.64,100.00,0
4.25,19.99,1.41,7.61,21.09,100.00,0
4.27,18.74,1.51,6.82,19.41,100.00,0
4.29,29.86,1.39,17.57,18.57,100.00,0
4.32,15.60,1.86,9.82,23.43,100.00,0
4.34,16.70,1.51,7.70,18.86,100.00,0
4.35,17.88,1.41,6.66,18.84,100.00,0
4.37,19.95,1.33,7.87,18.75,100.00,0
4.39,29.59,1.53,14.70,22.44,100.00,0
4.42,15.06,3.90,10.49,22.34,100.00,0
4.43,19.25,1.73,8.36,18.60,100.00,0
4.45,19.62,1.60,8.17,20.34,100.00,0
4.47,19.46,1.66,7.65,19.41,100.00,0
4.49,31.59,1.36,16.27,22.63,100.00,0
4.52,13.08,1.86,6.92,22.72,100.00,0
4.54,18.77,1.48,6.80,18.73,100.00,0
4.56,18.55,1.53,6.79,18.60,100.00,0
4.58,18.65,1.30,6.66,18.87,100.00,0
4.59,23.64,1.58,9.24,20.94,100.00,0
4.62,17.51,3.22,13.34,19.00,100.00,0
4.64,21.46,7.49,7.06,22.07,100.00,0
4.66,18.43,1.45,7.11,18.63,100.00,0
4.67,21.25,1.74,6.52,21.42,100.00,0
4.70,20.19,1.38,7.41,19.57,100.00,0
4.72,22.84,2.01,11.99,18.97,100.00,0
4.74,16.27,2.49,8.30,19.23,100.00,0
4.76,21.23,1.45,6.80,22.18,100.00,0
4.78,21.09,1.42,6.68,21.59,100.00,0
4.80,20.30,1.61,6.86,20.41,100.00,0
4.82,24.56,2.02,12.13,19.65,100.00,0
4.84,20.88,2.59,6.88,25.66,100.00,0
4.86,20.30,1.37,6.33,20.59,100.00,0
4.88,18.51,1.35,6.33,18.63,100.00,0
4.90,20.41,1.55,8.09,18.74,100.00,0
4.92,21.65,2.15,8.00,21.56,100.00,0
4.94,21.68,3.69,7.26,22.12,100.00,0
4.97,20.05,1.34,7.50,19.98,100.00,0
4.99,18.46,1.45,6.72,19.05,100.00,0
